company,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Era Group Inc ,0.005155661312710688,0.0,0.009270275629585564,0.015714852270473926,0.01164981162006742,0.010757485623636723,0.0,0.0,0.04208804283164782,0.020969660916121353,0.0,0.0,0.009121554630180448,0.0,0.01665675193337299,0.010807059290105095,0.03128098354154274,0.4970255800118975,0.0,0.005155661312710688,0.0037180249851279006,0.04540947848502876,0.002181241324608368,0.014921673606979971,0.0,0.016954193932183226,0.13786436644854247,0.014029347610549277,0.01883799325798136,0.0,0.0,0.04823517747372595,0.007882212968471148,0.004312908982748364,0.0
Erie Indemnity Company,0.0,0.0,0.0,0.0,0.015013302926643862,0.017673888255416194,0.0,0.0,0.030976814899277838,0.013112884834663625,0.0,0.0,0.01539338654503991,0.0,0.022805017103762825,0.026035727860129226,0.07240592930444699,0.43652603572786014,0.019954389965792473,0.04808057772709996,0.0832383124287343,0.03192702394526796,0.0036107943747624477,0.01862409730140631,0.0,0.0,0.020524515393386546,0.02603572786012923,0.014063093880653743,0.0,0.016153553781832003,0.0,0.02831622957050551,0.019194222729000378,0.020334473584188523
Escalade Incorporated,0.01689295863593306,0.0,0.00884117461319861,0.006946637196084623,0.01768234922639722,0.030628354910009474,0.0,0.0,0.027944426902431322,0.015314177455004737,0.01705083675402589,0.0,0.011367224502683928,0.0,0.06567729712661825,0.008999052731291443,0.05446795074202715,0.31465108935901465,0.013261761919797915,0.07246605620461004,0.003789074834227976,0.02241869276918219,0.003315440479949479,0.0058414903694347965,0.0,0.006946637196084623,0.004262709188506473,0.01799810546258289,0.0020524155352068204,0.0,0.11951373539627408,0.07309756867698136,0.04452162930217872,0.004894221660877802,0.009156930849384275
Esperion Therapeutics Inc ,0.004508100493073491,0.06395867574548017,0.001408781404085466,0.0037097910307583937,0.016999295609297957,0.012350316975815918,0.01817328011270251,0.0,0.014980042263442123,0.015402676684667762,0.017234092509978868,0.0,0.012491195116224468,0.0,0.009485794787508805,0.0016905376849025593,0.024559755811223292,0.27875088048837804,0.017609767551068325,0.00981451044846208,0.007842216482742427,0.009720591688189716,0.0,0.14200516553181497,0.0485559990608124,0.017046254989434143,0.0050246536745714955,0.00427330359239258,0.0285043437426626,0.07870392110824137,0.018642873914064332,0.01192768255459028,0.010706738671049541,0.00319323784926039,0.09072552242310401
Essendant Inc ,0.0,0.0,0.0,0.0,0.011263318112633182,0.0228310502283105,0.0,0.0,0.0076103500761035,0.0,0.0,0.0,0.0,0.0,0.010045662100456623,0.0,0.0,0.4687975646879756,0.0,0.026788432267884323,0.0,0.05022831050228311,0.0,0.0,0.0,0.0,0.0073059360730593605,0.03287671232876713,0.0,0.0,0.12115677321156774,0.020395738203957382,0.18325722983257228,0.0,0.03744292237442923
Essent Group Ltd ,0.014958643749633366,0.0,0.01507596644570892,0.011086994779140024,0.0034610195342288964,0.0201795037249956,0.0,0.0,0.05437906963102012,0.01824367923974893,0.0,0.0,0.003988971666568897,0.0,0.052149938405584545,0.04159089575878453,0.03138382120021117,0.5148119903795408,0.0,0.013609432744764475,0.0366633425236112,0.05121135683698012,0.008799202205666688,0.014899982401595591,0.0,0.010911010735026693,0.014430691617293365,0.016073209362351144,0.0,0.0,0.013257464656537807,0.02886138323458673,0.00932715433800669,0.000645274828415557,0.0
Essex Property Trust Inc ,0.01841620626151013,0.0,0.007629571165482768,0.020415680084188374,0.004525124967113917,0.021310181531176003,0.0,0.0,0.0585635359116022,0.027150749802683505,0.0,0.0,0.0,0.0,0.025572217837411208,0.053827940015785315,0.044672454617205995,0.39279137069192255,0.009260720862930807,0.016521967903183374,0.015416995527492768,0.05577479610628781,0.009471191791633781,0.007261247040252565,0.0,0.022099447513812157,0.03514864509339648,0.025256511444356745,0.016153643777953173,0.0,0.0,0.0796106287818995,0.01662720336753486,0.01273349118652986,0.0037884767166535124
Estee Lauder Companies Inc The ,0.0,0.0,0.004251386321626617,0.006469500924214418,0.015157116451016635,0.012199630314232903,0.0,0.0,0.0,0.02698706099815157,0.009611829944547136,0.0,0.013493530499075786,0.0,0.020517560073937152,0.006284658040665434,0.08428835489833642,0.3903881700554529,0.0,0.0722735674676525,0.013678373382624768,0.0767097966728281,0.0177449168207024,0.014417744916820702,0.0,0.010166358595194085,0.05822550831792976,0.037892791127541584,0.007024029574861368,0.0,0.06746765249537892,0.0,0.013308687615526803,0.006284658040665434,0.015157116451016635
Esterline Technologies Corporation,0.012509090909090909,0.012218181818181817,0.0,0.005963636363636364,0.03243636363636364,0.04290909090909091,0.0,0.0,0.024727272727272726,0.0,0.00930909090909091,0.0,0.002909090909090909,0.0,0.028072727272727277,0.012218181818181819,0.03825454545454545,0.48450909090909067,0.010472727272727272,0.03607272727272727,0.0,0.03869090909090909,0.0,0.011781818181818183,0.0,0.00930909090909091,0.03549090909090909,0.017745454545454547,0.0,0.0,0.06414545454545453,0.020363636363636365,0.004654545454545455,0.01789090909090909,0.027345454545454544
Estre Ambiental Inc ,0.027315023262794533,0.0,0.020211116113862625,0.012907098904397419,0.015558557206463557,0.0057031367251988594,0.0,0.0,0.03446895792685978,0.1171144129271099,0.00045024763619990995,0.0,0.0033018159987993397,0.0,0.0039021461803992194,0.019910951023062683,0.004602531392265746,0.5044274350892991,0.0016008804842663465,0.001851018059932963,0.06878783330831957,0.03982190204612537,0.01745960278152984,0.009355145329931463,0.0,0.017009355145329932,0.004752613937665716,0.03702036119865927,0.018059932963129726,0.0,0.007153934664065237,0.0018510180599329632,0.004552503877132423,0.0008504677572664966,0.0
Ethan Allen Interiors Inc ,0.0,0.0,0.0,0.0,0.030419161676646708,0.051017964071856284,0.0,0.0,0.03664670658682635,0.0,0.013652694610778443,0.0,0.006227544910179641,0.0,0.09317365269461078,0.01964071856287425,0.08215568862275448,0.3834730538922154,0.030898203592814373,0.04958083832335329,0.0,0.024910179640718563,0.0,0.0,0.0,0.016766467065868262,0.006467065868263473,0.017245508982035928,0.0244311377245509,0.0,0.05269461077844312,0.014610778443113773,0.015568862275449102,0.02035928143712575,0.010059880239520959
Etsy Inc ,0.014979178320591709,0.0006836969357946423,0.002113245074274349,0.03138790477966312,0.018894897134688293,0.026415563428429364,0.0,0.0,0.01528994965504382,0.019267822736030827,0.021567530610976444,0.0,0.012928087513207781,0.0,0.04705078003604948,0.006588352290384735,0.05295543539063957,0.5621231897569775,0.031636521847224805,0.0,0.010255454036919633,0.026912797563552738,0.005345266952576294,0.0013673938715892846,0.0,0.007955746161974019,0.001864628006712661,0.009571757101124992,0.011871464976070606,0.0,0.0054695754863571385,0.03549008639443098,0.0019267822736030828,0.011498539374728075,0.006588352290384736
